I0101 00:00:07.460472 432] [MCU] Process0x03_0x37_0x01 - TaskID=0,sendID=0,recvcount=100,walkstate=0,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:09.960668 432] [MCU] Process0x03_0x37_0x01 - TaskID=0,sendID=0,recvcount=200,walkstate=0,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:12.461434 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:14.960725 432] [MCU] Process0x03_0x37_0x01 - TaskID=10003,sendID=10003,recvcount=400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:17.461462 432] [MCU] Process0x03_0x37_0x01 - TaskID=10003,sendID=10003,recvcount=500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:19.961151 432] [MCU] Process0x03_0x37_0x01 - TaskID=10005,sendID=10005,recvcount=600,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=320, wheelR=-312, Algorithm=0, Ultrasonic=0
I1211 20:31:14.399749 432] [MCU] Process0x03_0x37_0x01 - TaskID=10005,sendID=10005,recvcount=700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:31:16.900475 432] [MCU] Process0x03_0x37_0x01 - TaskID=10006,sendID=10006,recvcount=800,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=210, wheelR=-212, Algorithm=0, Ultrasonic=0
I1211 20:31:19.400625 432] [MCU] Process0x03_0x37_0x01 - TaskID=10006,sendID=10006,recvcount=900,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=-70, Algorithm=0, Ultrasonic=0
I1211 20:31:21.899919 432] [MCU] Process0x03_0x37_0x01 - TaskID=10009,sendID=10009,recvcount=1000,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-410, wheelR=408, Algorithm=0, Ultrasonic=0
I1211 20:31:24.400939 432] [MCU] Process0x03_0x37_0x01 - TaskID=10011,sendID=10011,recvcount=1100,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=336, wheelR=-350, Algorithm=0, Ultrasonic=0
I1211 20:31:26.900247 432] [MCU] Process0x03_0x37_0x01 - TaskID=10012,sendID=10012,recvcount=1200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-486, wheelR=470, Algorithm=0, Ultrasonic=0
I1211 20:31:29.401070 432] [MCU] Process0x03_0x37_0x01 - TaskID=10013,sendID=10013,recvcount=1300,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=522, wheelR=-508, Algorithm=0, Ultrasonic=0
I1211 20:31:31.900736 432] [MCU] Process0x03_0x37_0x01 - TaskID=10015,sendID=10015,recvcount=1400,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-388, wheelR=398, Algorithm=0, Ultrasonic=0
I1211 20:31:34.400504 432] [MCU] Process0x03_0x37_0x01 - TaskID=10017,sendID=10017,recvcount=1500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-344, wheelR=370, Algorithm=0, Ultrasonic=0
I1211 20:31:36.900692 432] [MCU] Process0x03_0x37_0x01 - TaskID=10019,sendID=10019,recvcount=1600,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-400, wheelR=390, Algorithm=0, Ultrasonic=0
I1211 20:31:39.400584 432] [MCU] Process0x03_0x37_0x01 - TaskID=10020,sendID=10020,recvcount=1700,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=518, wheelR=-502, Algorithm=0, Ultrasonic=0
I1211 20:31:41.900396 432] [MCU] Process0x03_0x37_0x01 - TaskID=10021,sendID=10021,recvcount=1800,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=478, wheelR=-486, Algorithm=0, Ultrasonic=0
I1211 20:31:44.401257 432] [MCU] Process0x03_0x37_0x01 - TaskID=10022,sendID=10022,recvcount=1900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-150, wheelR=148, Algorithm=0, Ultrasonic=0
I1211 20:31:46.901351 432] [MCU] Process0x03_0x37_0x01 - TaskID=10024,sendID=10024,recvcount=2000,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-356, wheelR=376, Algorithm=0, Ultrasonic=0
I1211 20:31:49.401427 432] [MCU] Process0x03_0x37_0x01 - TaskID=10025,sendID=10025,recvcount=2100,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=326, wheelR=-336, Algorithm=0, Ultrasonic=0
