('07:35:00.135773', '[消息] 开始自动清扫', 'fan=3 water=3')
('07:35:00.271131', '[消息] 更新虚拟禁区设置')
('07:35:00.271354', '[消息] 更新虚拟禁区设置')
('07:35:00.278725', '[消息] 更新虚拟禁区设置')
('07:35:00.286082', '[消息] 更新虚拟禁区设置')
('07:35:00.286962', '[消息] 更新虚拟禁区设置')
('07:35:00.369076', '[状态] 播放：预约清扫启动，开始工作')
('07:35:00.722235', '[状态] 离开充电座过程中')
('07:35:00.724361', '[MCU 消息] 离开充电座')
('07:35:00.739435', 'Ignore This')
('07:35:00.739821', '[消息] 轮子过载')
('07:35:00.780807', '[消息] LDS雷达起动任务')
('07:35:00.917315', '[ERROR] lds数据不更新')
('07:35:01.128860', '[ERROR] lds数据不更新')
('07:35:01.340009', '[ERROR] lds数据不更新')
('07:35:01.551234', '[ERROR] lds数据不更新')
('07:35:01.762423', '[ERROR] lds数据不更新')
('07:35:01.973980', '[ERROR] lds数据不更新')
('07:35:02.186481', '[ERROR] lds数据不更新')
('07:35:02.399437', '[ERROR] lds数据不更新')
('07:35:02.610574', '[ERROR] lds数据不更新')
('07:35:04.073485', '[MCU 报警] 轮子过载 ')
('07:35:04.073546', '[状态] 机器异常')
('07:35:04.623980', '[消息] 更新虚拟禁区设置')
('07:35:04.624042', '[消息] 更新虚拟禁区设置')
('07:35:04.631616', '[消息] 更新虚拟禁区设置')
('07:35:04.639068', '[消息] 更新虚拟禁区设置')
('07:35:04.639925', '[消息] 更新虚拟禁区设置')
('07:35:04.640970', '[状态] 充电中')
('07:35:04.730643', '[状态] 播放：开始充电提示音和弦音')
('07:35:04.860718', '[消息] 更新虚拟禁区设置')
('07:35:04.860782', '[消息] 更新虚拟禁区设置')
('07:35:04.868585', '[消息] 更新虚拟禁区设置')
('07:35:04.876469', '[消息] 更新虚拟禁区设置')
('07:35:04.877429', '[消息] 更新虚拟禁区设置')
('07:35:05.279213', '[消息] LDS雷达停止任务')
('07:35:05.311930', '[消息] 关闭所有设备')
('07:35:05.367647', '[消息] 关闭边刷')
('07:35:05.423441', '[消息] 关闭充电红灯')
('11:05:33.849591', '[消息] 离开充电座')
('11:05:34.825512', '[消息] 在充电座')
('11:05:37.099663', '[消息] 离开充电座')
('11:05:40.115255', '[消息] 关闭所有设备')
('11:05:40.126013', '[消息] 在充电座')
('11:05:40.149132', '[状态] 播放：去充电')
('11:05:40.213965', '[消息] 开启边刷')
('11:05:40.269712', '[消息] 开始回充')
('11:05:40.326998', '[消息] 开启边刷')
('11:05:40.357405', '[消息] 开始回充')
('11:05:40.387845', '[消息] LDS雷达起动任务')
('11:05:40.450371', '[ERROR] lds数据不更新')
('11:05:40.661654', '[ERROR] lds数据不更新')
('11:05:40.678087', '[MCU 报警] 轮子过载 ')
('11:05:40.678252', '[状态] 机器异常')
('11:05:40.678930', '[消息] 关闭所有设备')
('11:05:40.709429', '[消息] 关闭充电红灯')
('11:05:40.765254', '[消息] 停止运动')
('11:05:41.370635', '[消息] 更新虚拟禁区设置')
('11:05:41.370698', '[消息] 更新虚拟禁区设置')
('11:05:41.378165', '[消息] 更新虚拟禁区设置')
('11:05:41.385660', '[消息] 更新虚拟禁区设置')
('11:05:41.386507', '[消息] 更新虚拟禁区设置')
('11:05:41.387564', '[状态] 充电中')
('11:05:41.532006', '[消息] 更新虚拟禁区设置')
('11:05:41.532070', '[消息] 更新虚拟禁区设置')
('11:05:41.539502', '[消息] 更新虚拟禁区设置')
('11:05:41.546975', '[消息] 更新虚拟禁区设置')
('11:05:41.547821', '[消息] 更新虚拟禁区设置')
('11:05:41.949517', '[消息] LDS雷达停止任务')
('11:05:41.983533', '[消息] 关闭所有设备')
('11:05:42.014030', '[消息] 关闭边刷')
('11:05:42.069777', '[消息] 关闭充电红灯')
